x,y
0,1
1,3
2,7
3,13
4,21
5,31
6,43
7,57
8,73
9,91
10,111
11,133
12,157
13,183
14,211
15,241
16,273
17,307
18,343
19,381
20,421
21,463
22,507
23,553
24,601
25,651
26,703
27,757
28,813
29,871
30,931
31,993
32,1057
33,1123
34,1191
35,1261
36,1333
37,1407
38,1483
39,1561
40,1641
41,1723
42,1807
43,1893
44,1981
45,2071
46,2163
47,2257
48,2353
49,2451
50,2551
51,2653
52,2757
53,2863
54,2971
55,3081
56,3193
57,3307
58,3423
59,3541
60,3661
61,3783
62,3907
63,4033
64,4161
65,4291
66,4423
67,4557
68,4693
69,4831
70,4971
71,5113
72,5257
73,5403
74,5551
75,5701
76,5853
77,6007
78,6163
79,6321
80,6481
81,6643
82,6807
83,6973
84,7141
85,7311
86,7483
87,7657
88,7833
89,8011
90,8191
91,8373
92,8557
93,8743
94,8931
95,9121
96,9313
97,9507
98,9703
99,9901
